name,en,short,star,price,score,rev,loc,avail,areaTxt,kokusai,market,station,stationM,lat,lng,cond,bath,pool,bf,parking,note
"네스트 호텔 나하 구모지","Nest Hotel Naha Kumoji","네스트","3.5","136311","8.9","8224","9","3","19~21㎡","10","9","미에바시역","216","26.21951","127.682261","전 객실 금연 · 120실","없음","없음","뉴페 (지역 식재료 중심)","40대 (요금 미표기)","디럭스 트윈(21㎡, 최대 3명)과 트윈룸(19㎡)이 가격이 ₩136,311로 동일합니다 — 디럭스를 잡는 게 무조건 낫습니다. 후기 8,224건에 8.9점으로 평가가 안정적이고 전 객실 금연입니다. 다만 공식 안내 기준 국제거리 도보 10분으로 이번 목록에서 가장 먼 축이고, 대욕장·수영장은 없습니다."
"호텔 더 큐브 나하 국제 스트리트","HOTEL THE CUBE Naha Kokusai St.","더 큐브","3","55176","8.6","5831","9.3","2","면적 미표기 (캐빈형)","0","8","마키시역","93","26.21723","127.69162","캐빈형 초소형","없음 (층별 공용 샤워룸)","없음","간단 양식 조식","없음","아고다 상세에 면적 표기가 없는 캐빈형. 국제거리에 면해 가장 싸지만 2인이 캐리어를 펼치기엔 매우 좁고 문틈 소음이 큽니다."
"호텔 란타나 나하 고쿠사이 스트리트","Hotel Lantana Naha Kokusai-dori","란타나","3","65846","8.5","11711","9.2","2","19㎡","1","2","미에바시역","447","26.21549","127.68603","신축급 (2019)","없음","없음","유료 뷔페","없음","아고다 도보 명소에 공설시장이 150m로 찍힌 유일한 저가 호텔. 스탠다드와 19㎡ 트윈 차액이 2,657원이라 트윈이 낫습니다. 주차장·세탁기 없음."
"비비 호텔 고쿠사이도리","BiBi Hotel Kokusaidori","비비","3","73220","8.5","1300","8.7","1","15㎡","2","9","마키시역","238","26.21557","127.69109","신축급 · 협소","없음 (욕조 없이 샤워부스)","없음","없음 (객실 IH·전자레인지)","1박 1,500엔 · 3대","원래 더블룸 한 종류만 운영하는 24실 아파트먼트형이라 판매 완료 0종. 주방·세탁기는 좋지만 15㎡에 욕조가 없습니다."
"콘도미니오 마키시","Condominio MAKISHI","콘도미니오","3","87960","8.7","3616","9.3","2","27㎡","1","5","마키시역","255","26.215666","127.6907","양호 · 넓은 객실","없음 (욕실·화장실 분리)","없음","없음 (전 객실 주방)","1박 1,500엔 · 2~3대","9만 원 이하에서 27㎡가 남은 유일한 곳. 금연 트윈은 최대 3명. 주방·세탁기·건조기가 객실에 있어 시장에서 사와 해먹기 좋습니다."
"프린스 스마트 인 나하","Prince Smart Inn Naha","프린스","3","92785","9","9619","9","2","14~17㎡","10","13","미에바시역","260","26.2205658","127.682259","신축 (2022)","없음","없음","무료 경조식 (베이글 중심)","1박 1,500엔 · 26대","2022년 신축이라 청결·조용함 평이 높지만 남은 방이 14·17㎡로 가장 좁은 축. 국제거리까지 도보 10분으로 접근성도 이번 후보 중 하위."
"호텔 아트 스테이 나하 고쿠사이 스트리트","HOTEL ART STAY Naha Kokusai St.","아트스테이","3.5","97296","8.8","11314","9.4","1","16㎡","1","3","미에바시역","407","26.216833","127.687469","리뉴얼했으나 연식 있음","없음","없음","뷔페 (오키나와 요리 중심)","제휴 1,200엔 · 17대","돈키호테 110m·공설시장 230m로 쇼핑 접근성 최상위. 라운지 프리드링크와 생맥주·아와모리 무제한이 강점이지만 남은 방은 16㎡ 한 종류뿐입니다."
"호텔 아베스트 나하 고쿠사이 스트리트","Hotel Abest Naha Kokusai-dori","아베스트","3","97686","8.2","4328","9.2","2","15㎡","6","11","겐초마에역","149","26.213978","127.680779","노후 · 청소는 양호","없음","없음","유료 뷔페","제휴 1,000엔","15㎡에 10만 원 가까이라 가격 대비 넓이가 가장 아쉽습니다. 건물 노후 지적이 많지만 청소 상태는 좋다는 평."
"호텔 팜 로얄 리조트 고쿠사이 스트리트","Hotel Palm Royal Resort Kokusai Street","팜 로얄","3","98047","8.7","7576","9.3","13","14~30㎡","0","4","마키시역","276","26.216488","127.689919","선택지 최다 · 리조트형","온천 스타일 욕탕 (후기 다수)","야외 수영장 · 아동용 수영장 · 풀사이드 바","조식 이용 가능","주차장 있음","선택지가 가장 넓습니다. 국제거리 한복판인데 2인 객실만 13종으로 압도적이고, 14㎡부터 30㎡까지 예산에 맞춰 고를 수 있습니다. 22㎡ 그랜드 트윈 ₩137,697, 28㎡ 슈페리어 트윈 ₩152,278. 야외 수영장과 온천탕까지 있어 같은 가격대에서 만족도가 높습니다."
"리치먼드 호텔 나하 쿠모지","Richmond Hotel Naha Kumoji","리치먼드","3","102003","8.6","6600","8.6","3","18~26㎡","9","9","미에바시역","196","26.220308","127.682838","비즈니스 · 넓은 객실","없음","없음","조식 있음","주차장 있음","전체 10종 중 2인 객실은 3종입니다(나머지는 트리플·쿼드·3~4인 트윈). 26㎡ 디럭스 더블이 ₩123,482로, 2인 기준 이 목록에서 26㎡를 잡을 수 있는 몇 안 되는 곳입니다. 국제거리는 도보 9~10분으로 떨어져 있고(바로 옆 블록 네스트 구모지 공식 안내가 도보 10분) 위치 평점도 8.6으로 낮은 편입니다."
